LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
161          2.50000000e-03   4.00000000e-01   5.56694737e-05   1.57296051e-15  -2.49719882e-15   3.87751354e-15   1.67412290e-02 
162          2.50000000e-03   4.02500000e-01   5.53169269e-05   1.58163413e-15  -2.49697181e-15   3.88577381e-15   1.67822249e-02 
163          2.50000000e-03   4.05000000e-01   5.49670757e-05   1.59160879e-15  -2.23005479e-15   3.89636172e-15   1.68230221e-02 
164          2.50000000e-03   4.07500000e-01   5.46212927e-05   1.60114977e-15  -2.23339210e-15   3.90708177e-15   1.68636225e-02 
165          2.50000000e-03   4.10000000e-01   5.42789846e-05   1.61416019e-15  -2.33562559e-15   3.91409859e-15   1.69040278e-02 
166          2.50000000e-03   4.12500000e-01   5.39393369e-05   1.62673694e-15  -2.31189173e-15   3.92697010e-15   1.69442399e-02 
167          2.50000000e-03   4.15000000e-01   5.36023283e-05   1.63844632e-15  -2.46535716e-15   3.93766644e-15   1.69842607e-02 
168          2.50000000e-03   4.17500000e-01   5.32679373e-05   1.64842098e-15  -2.46163699e-15   3.94642476e-15   1.70240918e-02 
169          2.50000000e-03   4.20000000e-01   5.29361425e-05   1.65796196e-15  -2.52295878e-15   3.95715836e-15   1.70637351e-02 
170          2.50000000e-03   4.22500000e-01   5.26069225e-05   1.66837030e-15  -2.28434283e-15   3.97195772e-15   1.71031923e-02 
171          2.50000000e-03   4.25000000e-01   5.22802559e-05   1.67877864e-15  -2.47390880e-15   3.98157324e-15   1.71424651e-02 
172          2.50000000e-03   4.27500000e-01   5.19561212e-05   1.68831962e-15  -2.52384309e-15   3.98969120e-15   1.71815551e-02 
173          2.50000000e-03   4.30000000e-01   5.16344972e-05   1.69829428e-15  -2.40788766e-15   3.99966586e-15   1.72204640e-02 
174          2.50000000e-03   4.32500000e-01   5.13153625e-05   1.70826894e-15  -2.46943647e-15   4.00861392e-15   1.72591935e-02 
175          2.50000000e-03   4.35000000e-01   5.09986960e-05   1.71780992e-15  -2.49968571e-15   4.01980830e-15   1.72977450e-02 
176          2.50000000e-03   4.37500000e-01   5.06844763e-05   1.72821826e-15  -2.44713917e-15   4.03436711e-15   1.73361203e-02 
177          2.50000000e-03   4.40000000e-01   5.03726824e-05   1.73732556e-15  -2.41419637e-15   4.04492114e-15   1.73743209e-02 
178          2.50000000e-03   4.42500000e-01   5.00632933e-05   1.74296341e-15  -2.46258905e-15   4.05333387e-15   1.74123482e-02 
